396939652,Rita Monteiro,925641554,Largo da Praia da Galé 94 5047-002 Barreiro,clínica geral
555254892,Gabriel Nascimento,932868494,R. de Fernandes S/N 3560-785 Felgueiras,clínica geral
765040779,Lourenço Lopes,976264437,Largo Henriques 675 3096-672 Alcácer do Sal,clínica geral
313287975,Leandro Alves,923803841,Avenida Mendes 63 7060-266 Marinha Grande,clínica geral
580335226,Noah Rocha,938912023,Rua de Torres 993 8061-221 São Mamede de Infesta,clínica geral
906841892,Vítor Carneiro,915308134,Av de Matos 828 3965-938 Ribeira Grande,clínica geral
711098875,Mauro Carneiro-Batista,902342514,Rua de Vicente 541 3473-400 Esposende,clínica geral
352246914,Bárbara Morais,920583209,Travessa Pacheco 87 1475-539 Amora,clínica geral
365486208,Leonardo de Pinho,996174543,Alameda Santos 546 7569-581 Marinha Grande,clínica geral
330306924,Júlia Guerreiro,967363719,Av dos Escaleres S/N 7893-286 Oliveira de Azeméis,clínica geral
357836799,Tiago Sá,986982977,Praça Gaspar 67 9789-273 Seixal,clínica geral
763622689,Gabriela Branco,995846258,Av do Carvalhido 27 9335-463 Fundão,clínica geral
909027001,Gaspar Leal,999786220,Alameda Vicente Correia S/N 5157-100 Abrantes,clínica geral
143167499,Valentina Vaz,904020913,Largo Manuel Nascimento 54 8281-041 Braga,clínica geral
851844682,Nicole Leite,957539971,Largo de Palma S/N 1555-512 São João da Madeira,clínica geral
595880632,Pilar Barros,945773374,Rua Anjos 3 2058-718 Estremoz,clínica geral
017341624,Sebastião Guerreiro-Machado,939069914,Av de Araújo S/N 7086-508 Espinho,clínica geral
327901732,Sebastião Gonçalves-Monteiro,904718213,Av Petra Alves S/N 3895-896 Estremoz,clínica geral
617441570,Vasco Amaral,926552655,Praça do Regado 29 7892-160 Lamego,clínica geral
701298660,Vasco Amorim,919600725,Praça de Borges 39 6167-602 Rio Maior,clínica geral
102948387,Eva Barros,976010747,Largo de Augusto Gomes 853 2568-647 Ílhavo,ortopedia
085713923,Daniela Henriques,967207604,Av do Barredo 79 5527-383 Almeirim,cardiologia
881495369,Alice Neves,988319737,Avenida Igor Almeida 75 6619-839 Chaves,dermatologia
422907732,Luna Morais-Mendes,929948700,Praça Sabugosa 204 2490-873 Cantanhede,cirugia cardio-toráxica
141225123,Noah Neto,916314216,Largo Kyara Macedo 66 9955-373 Maia,otorrinolaringologia
051272443,Madalena Cruz-Faria,986417977,Rua de Neto 65 6693-436 Leiria,ortopedia
768633349,Júlia Moura,993386729,Av Manuel Figueiredo S/N 6772-585 Caniço,cardiologia
227123857,Wilson Barbosa,962129479,Praça da Bouça 49 6104-530 Faro,dermatologia
267286257,Júlia Nogueira,911182256,Praça Brian Pinto 80 0956-262 Barreiro,cirugia cardio-toráxica
029214765,Vicente Gaspar-Morais,989302675,Travessa Rafaela Coelho 973 0976-815 Tavira,otorrinolaringologia
598783549,Irina Nascimento,965046894,Largo de Machado 89 3223-412 Santa Maria da Feira,ortopedia
791357335,Caetana Vicente-Machado,963960191,Largo Edgar Cardoso S/N 5949-137 Ovar,cardiologia
399269583,Daniel Nogueira,968009440,Rua Cardoso S/N 6056-978 Aveiro,dermatologia
611224132,Nuno do Jesus,993057632,Praça do Recanto 59 3703-985 Espinho,cirugia cardio-toráxica
124306894,Valentina Almeida,934955754,Avenida Luís Ferreira 5 7645-280 Seia,otorrinolaringologia
897217773,Constança Pinto,982397768,Alameda das Musas 5 5604-576 Lamego,ortopedia
271968499,Artur Alves,927262875,Travessa de Sá S/N 5660-503 Entroncamento,cardiologia
676929136,Inês Barbosa,952746856,Av Anjos 31 9669-628 Vila Nova de Famalicão,dermatologia
796019745,Manuel Moreira,920793110,Rua Maia 972 1412-313 Rio Tinto,cirugia cardio-toráxica
443160511,Nelson Amaral,973463284,Avenida Duarte Barros 663 2907-973 Vila do Conde,otorrinolaringologia
