396939652,Gonzaga,0
396939652,Gonzaga,1
396939652,Gonzaga,2
396939652,Gonzaga,3
396939652,Cuf,4
396939652,Cuf,5
396939652,Cuf,6
555254892,Cuf,0
555254892,Cuf,1
555254892,Cuf,2
555254892,Cuf,3
555254892,Joaquim Chaves,4
555254892,Joaquim Chaves,5
555254892,Joaquim Chaves,6
765040779,Joaquim Chaves,0
765040779,Joaquim Chaves,1
765040779,Joaquim Chaves,2
765040779,Joaquim Chaves,3
765040779,Templimedis,4
765040779,Templimedis,5
765040779,Templimedis,6
313287975,Templimedis,0
313287975,Templimedis,1
313287975,Templimedis,2
313287975,Templimedis,3
313287975,Almadense,4
313287975,Almadense,5
313287975,Almadense,6
580335226,Almadense,0
580335226,Almadense,1
580335226,Almadense,2
580335226,Almadense,3
580335226,Gonzaga,4
580335226,Gonzaga,5
580335226,Gonzaga,6
906841892,Gonzaga,0
906841892,Gonzaga,1
906841892,Gonzaga,2
906841892,Gonzaga,3
906841892,Cuf,4
906841892,Cuf,5
906841892,Cuf,6
711098875,Cuf,0
711098875,Cuf,1
711098875,Cuf,2
711098875,Cuf,3
711098875,Joaquim Chaves,4
711098875,Joaquim Chaves,5
711098875,Joaquim Chaves,6
352246914,Joaquim Chaves,0
352246914,Joaquim Chaves,1
352246914,Joaquim Chaves,2
352246914,Joaquim Chaves,3
352246914,Templimedis,4
352246914,Templimedis,5
352246914,Templimedis,6
365486208,Templimedis,0
365486208,Templimedis,1
365486208,Templimedis,2
365486208,Templimedis,3
365486208,Almadense,4
365486208,Almadense,5
365486208,Almadense,6
330306924,Almadense,0
330306924,Almadense,1
330306924,Almadense,2
330306924,Almadense,3
330306924,Gonzaga,4
330306924,Gonzaga,5
330306924,Gonzaga,6
357836799,Gonzaga,0
357836799,Gonzaga,1
357836799,Gonzaga,2
357836799,Gonzaga,3
357836799,Cuf,4
357836799,Cuf,5
357836799,Cuf,6
763622689,Cuf,0
763622689,Cuf,1
763622689,Cuf,2
763622689,Cuf,3
763622689,Joaquim Chaves,4
763622689,Joaquim Chaves,5
763622689,Joaquim Chaves,6
909027001,Joaquim Chaves,0
909027001,Joaquim Chaves,1
909027001,Joaquim Chaves,2
909027001,Joaquim Chaves,3
909027001,Templimedis,4
909027001,Templimedis,5
909027001,Templimedis,6
143167499,Templimedis,0
143167499,Templimedis,1
143167499,Templimedis,2
143167499,Templimedis,3
143167499,Almadense,4
143167499,Almadense,5
143167499,Almadense,6
851844682,Almadense,0
851844682,Almadense,1
851844682,Almadense,2
851844682,Almadense,3
851844682,Gonzaga,4
851844682,Gonzaga,5
851844682,Gonzaga,6
595880632,Gonzaga,0
595880632,Gonzaga,1
595880632,Gonzaga,2
595880632,Gonzaga,3
595880632,Cuf,4
595880632,Cuf,5
595880632,Cuf,6
017341624,Cuf,0
017341624,Cuf,1
017341624,Cuf,2
017341624,Cuf,3
017341624,Joaquim Chaves,4
017341624,Joaquim Chaves,5
017341624,Joaquim Chaves,6
327901732,Joaquim Chaves,0
327901732,Joaquim Chaves,1
327901732,Joaquim Chaves,2
327901732,Joaquim Chaves,3
327901732,Templimedis,4
327901732,Templimedis,5
327901732,Templimedis,6
617441570,Templimedis,0
617441570,Templimedis,1
617441570,Templimedis,2
617441570,Templimedis,3
617441570,Almadense,4
617441570,Almadense,5
617441570,Almadense,6
701298660,Almadense,0
701298660,Almadense,1
701298660,Almadense,2
701298660,Almadense,3
701298660,Gonzaga,4
701298660,Gonzaga,5
701298660,Gonzaga,6
102948387,Gonzaga,0
102948387,Gonzaga,1
102948387,Gonzaga,2
102948387,Gonzaga,3
102948387,Cuf,4
102948387,Cuf,5
102948387,Cuf,6
085713923,Cuf,0
085713923,Cuf,1
085713923,Cuf,2
085713923,Cuf,3
085713923,Joaquim Chaves,4
085713923,Joaquim Chaves,5
085713923,Joaquim Chaves,6
881495369,Joaquim Chaves,0
881495369,Joaquim Chaves,1
881495369,Joaquim Chaves,2
881495369,Joaquim Chaves,3
881495369,Templimedis,4
881495369,Templimedis,5
881495369,Templimedis,6
422907732,Templimedis,0
422907732,Templimedis,1
422907732,Templimedis,2
422907732,Templimedis,3
422907732,Almadense,4
422907732,Almadense,5
422907732,Almadense,6
141225123,Almadense,0
141225123,Almadense,1
141225123,Almadense,2
141225123,Almadense,3
141225123,Gonzaga,4
141225123,Gonzaga,5
141225123,Gonzaga,6
051272443,Gonzaga,0
051272443,Gonzaga,1
051272443,Gonzaga,2
051272443,Gonzaga,3
051272443,Cuf,4
051272443,Cuf,5
051272443,Cuf,6
768633349,Cuf,0
768633349,Cuf,1
768633349,Cuf,2
768633349,Cuf,3
768633349,Joaquim Chaves,4
768633349,Joaquim Chaves,5
768633349,Joaquim Chaves,6
227123857,Joaquim Chaves,0
227123857,Joaquim Chaves,1
227123857,Joaquim Chaves,2
227123857,Joaquim Chaves,3
227123857,Templimedis,4
227123857,Templimedis,5
227123857,Templimedis,6
267286257,Templimedis,0
267286257,Templimedis,1
267286257,Templimedis,2
267286257,Templimedis,3
267286257,Almadense,4
267286257,Almadense,5
267286257,Almadense,6
029214765,Almadense,0
029214765,Almadense,1
029214765,Almadense,2
029214765,Almadense,3
029214765,Gonzaga,4
029214765,Gonzaga,5
029214765,Gonzaga,6
598783549,Gonzaga,0
598783549,Gonzaga,1
598783549,Gonzaga,2
598783549,Gonzaga,3
598783549,Cuf,4
598783549,Cuf,5
598783549,Cuf,6
791357335,Cuf,0
791357335,Cuf,1
791357335,Cuf,2
791357335,Cuf,3
791357335,Joaquim Chaves,4
791357335,Joaquim Chaves,5
791357335,Joaquim Chaves,6
399269583,Joaquim Chaves,0
399269583,Joaquim Chaves,1
399269583,Joaquim Chaves,2
399269583,Joaquim Chaves,3
399269583,Templimedis,4
399269583,Templimedis,5
399269583,Templimedis,6
611224132,Templimedis,0
611224132,Templimedis,1
611224132,Templimedis,2
