551189823,Vítor Paiva,997122460,R. Carneiro 339 9317-089 Olhão,Gonzaga
620642145,Flor Morais,991288301,Travessa Rodrigo Nunes 34 2450-234 Elvas,Gonzaga
113389147,Carolina Campos,972206711,Travessa do Conselho da Europa 209 6164-490 Gouveia,Gonzaga
204672764,Jaime Jesus,924771382,Avenida de Gaspar 18 4938-972 Santana,Gonzaga
246625763,Micael do Sousa,982345630,Praça de Santo Eugénio 78 3263-205 São Mamede de Infesta,Gonzaga
617540893,Júlia Carneiro,930974794,Avenida de Campos 47 3566-292 Lisboa,Cuf
610000962,Mia Pereira-Neves,925729525,Rua Carvalho 33 9462-482 Braga,Cuf
420827818,Mafalda Neto-Costa,997471184,Largo de Marques Marinho 69 1177-462 Chaves,Cuf
528380934,Clara Gonçalves,950475702,R. Batista S/N 3102-498 Ovar,Cuf
053525487,Bárbara da Monteiro,975046438,Rua das Laranjeiras 42 6570-140 Seixal,Cuf
677863902,Joel Branco,997005823,Travessa Mota 841 5214-214 Torres Vedras,Joaquim Chaves
777930176,Vasco Melo,993061378,Av Pacheco 65 0335-011 Valbom,Joaquim Chaves
014269560,Soraia Amorim,902253006,R. Martins 80 0622-941 Moura,Joaquim Chaves
742603089,Camila Andrade-Leite,903885587,R. das Mimosas 27 9393-887 Miranda do Douro,Joaquim Chaves
433149564,Vasco do Cardoso,928821797,R. de Reis 941 7401-931 Albufeira,Joaquim Chaves
023406813,Catarina Morais,956433461,Travessa Leite S/N 4974-123 Ponte de Sor,Templimedis
355385168,Emma Mota,980898475,Travessa Vicente Moreira 777 2195-309 Chaves,Templimedis
519326454,Carolina da Garcia,994890872,Largo Silva S/N 5634-879 Barreiro,Templimedis
297280448,Diego Vieira,910279026,R. Marta Mendes 14 9611-149 Quarteira,Templimedis
317447188,Salvador Maia,982333555,Alameda de Pinheiro 24 5655-319 Mirandela,Templimedis
601209343,Érica Pinheiro,925150693,R. Benjamim Sousa 35 3099-250 Seia,Almadense
969760237,Eduarda Fernandes,944667689,Travessa Carolina Michaelis de Vasconcelos S/N 9096-784 Ponta Delgada,Almadense
839829379,Pilar-Letícia Costa,917903991,Largo dos Pinheiros ao Parque das Nações S/N 7136-946 Rebordosa,Almadense
611362950,Afonso Esteves,957430876,Avenida Pinto 17 6677-563 Cantanhede,Almadense
516709854,Ricardo Barros,903849939,Largo Pulido Garcia 366 7709-393 Vila Real,Almadense
